problem_name,problem_link,num_occur
LRU Cache,https://leetcode.com/problems/lru-cache/,117
Two Sum,https://leetcode.com/problems/two-sum/,117
Number of Islands,https://leetcode.com/problems/number-of-islands/,103
Merge Intervals,https://leetcode.com/problems/merge-intervals/,87
Search Suggestions System,https://leetcode.com/problems/search-suggestions-system/,68
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,56
Group Anagrams,https://leetcode.com/problems/group-anagrams/,51
Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern/,50
K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,49
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,49
Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,48
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,47
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,45
3Sum,https://leetcode.com/problems/3sum/,44
Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,43
Word Ladder,https://leetcode.com/problems/word-ladder/,41
Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,40
Word Search,https://leetcode.com/problems/word-search/,36
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,36
Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,35
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,35
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,35
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,34
Word Break,https://leetcode.com/problems/word-break/,34
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,32
Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,32
Word Search II,https://leetcode.com/problems/word-search-ii/,31
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,31
Concatenated Words,https://leetcode.com/problems/concatenated-words/,30
First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,30
Maximum Units on a Truck,https://leetcode.com/problems/maximum-units-on-a-truck/,29
Maximum Length of Subarray With Positive Product,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/,29
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,29
Course Schedule,https://leetcode.com/problems/course-schedule/,28
Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,28
Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,28
Roman to Integer,https://leetcode.com/problems/roman-to-integer,27
Integer to Roman,https://leetcode.com/problems/integer-to-roman/,27
The kth Factor of n,https://leetcode.com/problems/the-kth-factor-of-n/,25
Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,25
Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,25
Maximum Twin Sum of a Linked List,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/,23
Minimum Swaps to Group All 1's Together,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,21
