problem_name,problem_link,num_occur
Remove Digit From Number to Maximize Result,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/,Amazon
Minimum Operations to Halve Array Sum,https://leetcode.com/problems/minimum-operations-to-halve-array-sum/,52
Divide Array Into Equal Pairs,https://leetcode.com/problems/divide-array-into-equal-pairs/,45
Merge Nodes in Between Zeros,https://leetcode.com/problems/merge-nodes-in-between-zeros/,42
Check if All A's Appears Before All B's,https://leetcode.com/problems/check-if-all-as-appears-before-all-bs/,39
Find Missing Observations,https://leetcode.com/problems/find-missing-observations/,34
Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array/,29
Three Divisors,https://leetcode.com/problems/three-divisors/,29
Sum of Digits of String After Convert,https://leetcode.com/problems/sum-of-digits-of-string-after-convert/,26
Remove All Occurrences of a Substring,https://leetcode.com/problems/remove-all-occurrences-of-a-substring/,24
Remove Duplicates From an Unsorted Linked List,https://leetcode.com/problems/remove-duplicates-from-an-unsorted-linked-list/,22
Sign of the Product of an Array,https://leetcode.com/problems/sign-of-the-product-of-an-array/,22
Find Center of Star Graph,https://leetcode.com/problems/find-center-of-star-graph/,20
Check if Number is a Sum of Powers of Three,https://leetcode.com/problems/check-if-number-is-a-sum-of-powers-of-three/,20
Equal Sum Arrays With Minimum Number of Operations,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations/,20
Closest Dessert Cost,https://leetcode.com/problems/closest-dessert-cost/,18
Map of Highest Peak,https://leetcode.com/problems/map-of-highest-peak/,17
Longest Nice Substring,https://leetcode.com/problems/longest-nice-substring/,17
Maximum Number of Balls in a Box,https://leetcode.com/problems/maximum-number-of-balls-in-a-box/,17
Maximum Number of Eaten Apples,https://leetcode.com/problems/maximum-number-of-eaten-apples/,16
Ways to Make a Fair Array,https://leetcode.com/problems/ways-to-make-a-fair-array/,16
Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,16
Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach/,15
Widest Vertical Area Between Two Points Containing No Points,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/,15
Replace All ?'s to Avoid Consecutive Repeating Characters,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters/,15
Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,15
Minimum Operations to Make Array Equal,https://leetcode.com/problems/minimum-operations-to-make-array-equal/,14
Minimum Insertions to Balance a Parentheses String,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/,14
Kth Missing Positive Number,https://leetcode.com/problems/kth-missing-positive-number/,14
Water Bottles,https://leetcode.com/problems/water-bottles/,14
Number of Good Pairs,https://leetcode.com/problems/number-of-good-pairs/,14
Making File Names Unique,https://leetcode.com/problems/making-file-names-unique/,13
Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array/,13
Delete N Nodes After M Nodes of a Linked List,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/,13
Find All The Lonely Nodes,https://leetcode.com/problems/find-all-the-lonely-nodes/,13
Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,13
Reformat The String,https://leetcode.com/problems/reformat-the-string/,12
The k-th Lexicographical String of All Happy Strings of Length n,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/,12
Find Lucky Integer in an Array,https://leetcode.com/problems/find-lucky-integer-in-an-array/,12
Cinema Seat Allocation,https://leetcode.com/problems/cinema-seat-allocation/,12
Bulb Switcher III,https://leetcode.com/problems/bulb-switcher-iii/,12
Generate a String With Characters That Have Odd Counts,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/,12
Find the Longest Substring Containing Vowels in Even Counts,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts/,11
Linked List in Binary Tree,https://leetcode.com/problems/linked-list-in-binary-tree/,11
Number of Substrings Containing All Three Characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,11
Angle Between Hands of a Clock,https://leetcode.com/problems/angle-between-hands-of-a-clock/,11
Number of Steps to Reduce a Number to Zero,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/,11
Sort the Matrix Diagonally,https://leetcode.com/problems/sort-the-matrix-diagonally/,11
Print Words Vertically,https://leetcode.com/problems/print-words-vertically/,11
Find N Unique Integers Sum up to Zero,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/,10
Find Winner on a Tic Tac Toe Game,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/,10
Delete Tree Nodes,https://leetcode.com/problems/delete-tree-nodes/,10
Count Servers that Communicate,https://leetcode.com/problems/count-servers-that-communicate/,10
Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,10
Check If It Is a Straight Line,https://leetcode.com/problems/check-if-it-is-a-straight-line/,10
Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,10
Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,10
Snapshot Array,https://leetcode.com/problems/snapshot-array/,10
Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest/,10
Car Pooling,https://leetcode.com/problems/car-pooling/,10
Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/,10
Letter Tile Possibilities,https://leetcode.com/problems/letter-tile-possibilities/,9
Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses/,9
Construct Binary Search Tree from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,9
Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,9
Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/,9
Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,9
Cousins in Binary Tree,https://leetcode.com/problems/cousins-in-binary-tree/,9
Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,8
Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree/,8
Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,8
K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,8
Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences/,8
DI String Match,https://leetcode.com/problems/di-string-match/,8
Knight Dialer,https://leetcode.com/problems/knight-dialer/,8
Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii/,8
Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,8
Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,7
Boats to Save People,https://leetcode.com/problems/boats-to-save-people/,7
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,7
Transpose Matrix,https://leetcode.com/problems/transpose-matrix/,7
Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person/,7
