problem_name,problem_link,num_occur
Merge Intervals,https://leetcode.com/problems/merge-intervals/,19
LRU Cache,https://leetcode.com/problems/lru-cache/,10
Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers/,7
Zuma Game,https://leetcode.com/problems/zuma-game/,6
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,6
Number of Islands,https://leetcode.com/problems/number-of-islands/,6
Largest Number,https://leetcode.com/problems/largest-number/,6
Boats to Save People,https://leetcode.com/problems/boats-to-save-people/,5
Construct the Lexicographically Largest Valid Sequence,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/,3
Find the Smallest Divisor Given a Threshold,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,3
Minimum Absolute Difference,https://leetcode.com/problems/minimum-absolute-difference/,3
Design HashMap,https://leetcode.com/problems/design-hashmap/,3
Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/,3
Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,3
Maximal Square,https://leetcode.com/problems/maximal-square/,3
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,3
Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,3
Min Stack,https://leetcode.com/problems/min-stack/,3
Sort Colors,https://leetcode.com/problems/sort-colors/,3
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,3
Group Anagrams,https://leetcode.com/problems/group-anagrams/,3
3Sum,https://leetcode.com/problems/3sum/,3
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,3
Two Sum,https://leetcode.com/problems/two-sum/,3
Count Sorted Vowel Strings,https://leetcode.com/problems/count-sorted-vowel-strings/,2
Least Number of Unique Integers after K Removals,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,2
Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,2
Maximum Number of Events That Can Be Attended,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/,2
Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,2
Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,2
Teemo Attacking,https://leetcode.com/problems/teemo-attacking/,2
Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,2
Flatten Nested List Iterator,https://leetcode.com/problems/flatten-nested-list-iterator/,2
Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/,2
Missing Number,https://leetcode.com/problems/missing-number/,2
Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance/,2
Rotate Array,https://leetcode.com/problems/rotate-array/,2
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,2
Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,2
Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,2
Jump Game,https://leetcode.com/problems/jump-game/,2
Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,2
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,2
Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,2
Check Whether Two Strings are Almost Equivalent,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/,1
Check If a Number Is Majority Element in a Sorted Array,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/,1
Height Checker,https://leetcode.com/problems/height-checker/,1
